price,bedrooms,bathrooms,sqft,floors,condition,grade,yr_built
785000.0,4,2.5,2290,2.0,4,9,1981
450000.0,3,1.75,1250,1.0,4,7,1953
1350000.0,3,2.5,2753,1.0,5,9,1953
228000.0,3,1.0,1190,1.0,3,7,1955
345000.0,5,2.5,3150,1.0,4,8,1966
600000.0,3,1.75,1410,1.0,4,7,1950
585000.0,2,1.75,1980,1.0,3,7,1981
920000.0,5,2.25,2730,1.5,3,8,1927
885000.0,4,2.5,2830,2.0,3,9,1995
292500.0,4,2.5,2250,2.0,3,7,2008
301000.0,3,2.5,2420,2.0,3,8,2003
951000.0,5,3.25,3250,2.0,4,8,1968
430000.0,4,3.0,1850,2.0,3,8,1991
650000.0,3,2.25,2150,1.0,4,8,1959
289000.0,3,1.75,1260,1.0,3,7,1954
505000.0,3,1.75,2519,2.0,5,8,1973
549000.0,3,1.75,1540,3.0,3,8,2014
425000.0,3,2.25,1660,1.0,3,7,1979
317625.0,3,2.75,2770,1.5,5,7,1925
975000.0,4,2.5,2720,2.0,3,10,1989
287000.0,4,2.5,2240,2.0,3,7,2005
204000.0,3,1.0,1000,1.0,4,7,1968
1325000.0,5,2.25,3200,1.0,3,8,1965
1040000.0,5,3.25,4770,1.0,4,11,1973
325000.0,3,2.0,1260,1.0,4,7,1972
571000.0,4,2.0,2750,1.5,5,7,1916
360000.0,4,2.5,2380,2.0,3,8,2005
349000.0,3,1.75,1790,1.0,5,7,1965
832500.0,4,4.0,3430,2.0,4,10,1986
380000.0,4,1.75,1760,1.0,3,7,1956
480000.0,3,1.0,1040,1.0,3,7,1941
410000.0,3,1.0,1410,1.0,4,7,1956
720000.0,4,2.5,3450,2.0,3,10,2002
390000.0,3,2.5,2350,2.0,3,8,2003
360000.0,4,2.5,1900,2.0,3,7,1992
355000.0,2,1.0,2020,1.0,3,7,1948
356000.0,3,1.5,1680,1.0,3,8,1964
315000.0,3,1.0,960,1.0,3,6,1952
940000.0,3,1.5,2140,2.0,3,9,1925
305000.0,5,2.25,2660,1.5,5,7,1961
461000.0,3,3.25,2770,2.0,3,9,2006
215000.0,2,2.25,1610,2.0,4,7,1979
335000.0,2,1.75,1030,2.0,3,7,2006
243500.0,4,2.5,1980,2.0,3,7,1988
1099880.0,5,2.75,3520,2.0,4,10,2001
153000.0,3,1.0,1200,1.0,3,7,1962
430000.0,3,1.5,1580,1.0,3,8,1939
700000.0,3,1.5,1580,1.0,3,8,1939
905000.0,4,2.5,3300,1.0,3,7,1946
247500.0,3,1.75,1960,1.0,3,7,1967
199000.0,4,1.5,1160,1.0,4,7,1975
314000.0,3,1.75,1810,1.0,5,7,1980
437500.0,3,2.5,2320,2.0,3,9,1992
850830.0,3,2.5,2070,1.5,5,9,1910
555000.0,3,2.0,1980,1.5,4,7,1929
699950.0,3,2.25,2190,2.0,4,8,1983
1088000.0,3,2.5,2920,2.0,3,8,1950
290000.0,3,1.0,1210,1.0,3,7,1954
375000.0,3,2.5,2340,1.0,4,8,1978
460000.0,3,1.0,1670,1.5,4,7,1939
188500.0,2,1.75,1240,1.0,4,8,1985
680000.0,4,2.5,3140,2.0,4,10,1991
470000.0,5,1.75,2030,2.0,4,7,1942
597750.0,4,2.5,2310,2.0,3,8,1984
570000.0,3,1.75,1260,1.0,5,6,1905
272500.0,3,1.75,1540,1.0,4,7,1980
329950.0,3,1.75,2080,1.0,3,7,1971
480000.0,4,2.5,3230,2.0,3,9,2001
740500.0,3,3.5,4380,2.0,3,8,1900
518500.0,3,3.5,1590,3.0,3,8,2010
205425.0,2,1.0,880,1.0,4,6,1945
171800.0,4,2.0,1570,1.0,3,6,1950
535000.0,4,1.0,1610,1.5,4,7,1925
660000.0,3,2.5,2400,1.0,3,8,1964
391500.0,3,2.0,1450,1.0,3,7,1987
395000.0,2,1.0,770,1.0,3,6,1953
445000.0,4,1.75,2100,1.5,5,7,1924
770000.0,3,2.25,2910,2.0,3,9,1990
1450000.0,4,2.75,2750,1.5,3,8,1914
445000.0,3,2.25,2100,1.0,3,8,1967
260000.0,4,2.25,2160,1.0,3,8,1978
822500.0,5,3.5,2320,2.0,5,7,1926
430000.0,4,2.5,2070,2.0,3,7,2004
212000.0,3,1.75,1060,1.0,4,7,1986
660500.0,4,2.25,2010,1.0,3,8,1986
784000.0,3,3.5,3950,1.5,3,9,1989
453246.0,3,2.5,2010,2.0,3,8,2014
675000.0,4,3.5,2140,3.0,3,9,2005
199000.0,3,1.75,1320,1.0,4,7,1956
220000.0,4,1.75,2020,1.0,3,7,1968
452000.0,4,2.25,2590,1.0,4,8,1968
382500.0,2,1.0,1190,1.0,3,6,1981
519950.0,3,2.25,1170,3.0,3,8,2014
665000.0,2,1.0,1110,1.0,3,7,1925
527700.0,5,2.5,2820,1.0,4,8,1968
205000.0,3,1.0,1610,1.0,4,7,1962
420000.0,3,1.0,1060,1.0,4,7,1923
500000.0,4,2.25,2030,1.0,4,8,1961
921500.0,4,2.5,3670,2.0,4,9,1994
890000.0,4,1.0,2550,2.0,3,8,1905
430000.0,2,2.5,2420,2.0,3,7,2007
258000.0,5,2.0,2260,1.0,4,8,1960
511000.0,3,1.0,1430,1.0,3,7,1947
532170.0,3,2.0,1360,2.0,3,8,1990
560000.0,3,1.0,1110,1.5,3,7,1947
282950.0,3,1.0,1250,1.0,4,7,1954
2250000.0,4,3.25,5180,2.0,3,12,2006
350000.0,1,1.0,700,1.0,3,7,1942
215000.0,3,1.0,1180,1.0,4,7,1967
650000.0,5,3.5,3960,2.0,3,9,1996
320000.0,4,2.75,2640,1.0,3,8,1967
247000.0,3,2.0,1270,1.5,3,7,1916
320000.0,4,1.75,1760,1.0,4,8,1968
255000.0,5,2.25,2060,1.0,3,7,1962
438000.0,3,1.75,1780,1.0,3,7,1962
900000.0,3,2.5,3400,2.0,3,10,2000
441000.0,3,2.75,1910,1.0,3,7,1979
420000.0,3,2.0,2020,1.0,4,7,1975
370000.0,3,1.75,1580,1.0,3,7,1976
269950.0,2,1.75,1340,1.0,5,5,1949
807100.0,4,2.5,2680,2.0,3,9,1999
653000.0,3,2.5,2680,1.0,4,8,1979
371500.0,3,2.0,1370,1.0,5,7,1964
284000.0,3,1.75,1560,1.0,3,7,1954
272000.0,3,1.75,2160,1.0,4,7,1978
313000.0,3,1.5,1340,1.5,3,7,1955
917500.0,4,2.5,3880,2.0,3,10,1984
673000.0,4,2.25,2590,2.0,4,8,1980
425000.0,3,2.5,1120,2.0,3,8,2008
399950.0,5,2.75,1970,1.0,3,7,1986
385000.0,3,1.0,1220,1.0,3,6,1901
269950.0,3,1.5,1950,1.0,4,7,1975
330000.0,2,1.0,1350,1.0,3,7,1949
260000.0,3,2.5,1670,2.0,3,7,1988
470000.0,4,3.0,2380,1.5,4,7,1925
589000.0,4,3.0,2440,2.0,5,7,1961
163500.0,2,1.5,1050,2.0,3,7,1996
835000.0,4,2.75,3130,2.0,3,9,1993
1095000.0,5,3.0,4090,1.0,4,10,1986
269000.0,4,1.75,1490,1.0,4,8,1969
560000.0,3,2.5,1900,2.0,3,8,1987
615000.0,4,1.0,1330,1.5,4,6,1901
585188.0,3,2.25,2230,1.0,3,8,1975
305000.0,3,1.75,1650,1.0,3,7,1977
166950.0,3,1.0,1190,1.0,3,6,1959
799000.0,3,2.5,2140,1.0,4,8,1959
400000.0,3,2.5,2180,1.0,4,7,1962
230000.0,3,1.0,1060,1.0,3,7,1948
256883.0,3,2.5,1690,2.0,3,8,2003
423000.0,4,2.0,1970,1.5,5,7,1920
465000.0,3,2.5,2150,2.0,3,8,2007
440000.0,3,2.5,1910,2.0,3,7,1997
385000.0,3,1.75,1350,1.0,4,7,1969
210000.0,3,1.0,860,1.0,4,6,1943
297000.0,3,2.5,1940,2.0,3,8,1994
470000.0,3,1.0,1010,1.0,3,7,1952
226500.0,3,1.5,1300,1.0,4,7,1976
274250.0,3,1.0,910,1.0,4,6,1962
840000.0,4,1.75,2480,1.0,4,9,1966
677900.0,3,2.5,2440,2.0,3,8,2010
425000.0,3,1.0,1010,1.0,3,7,1915
180250.0,2,0.75,900,1.0,3,6,1941
464000.0,6,3.0,2300,2.0,3,7,1920
320000.0,4,2.25,1550,2.0,3,8,1993
625504.0,3,2.25,1270,2.0,3,8,2014
592500.0,4,2.5,2240,1.0,3,9,1983
465000.0,3,2.5,2714,2.0,3,9,2005
477000.0,4,2.75,1720,2.0,3,8,1978
280000.0,2,1.0,850,1.0,3,6,1923
1505000.0,5,3.0,3300,1.0,3,9,1957
445838.0,3,2.5,2250,2.0,3,8,2000
1072000.0,2,2.25,3900,1.0,3,8,1947
467000.0,2,1.5,1320,1.0,4,8,1947
686000.0,4,2.5,2760,2.0,3,10,1999
279950.0,3,2.0,1750,1.0,3,7,1961
527000.0,4,2.25,2330,2.0,3,8,1987
325000.0,3,2.25,2220,1.0,4,8,1966
328000.0,3,2.25,2020,2.0,3,7,1994
390000.0,3,2.25,1250,1.0,5,7,1942
479950.0,2,2.0,1510,1.0,3,8,2005
264950.0,4,2.25,1720,1.0,4,7,1978
235000.0,3,1.0,1430,1.0,4,7,1961
516500.0,3,2.5,1480,2.0,3,7,2004
655000.0,2,1.75,1450,2.0,3,7,1915
500000.0,4,2.75,2280,1.0,5,7,1960
315000.0,6,2.75,2940,1.0,3,8,1978
213000.0,2,1.0,1000,1.0,3,6,1961
475000.0,3,1.5,2480,1.5,5,7,1947
1025000.0,5,4.0,3760,2.0,3,10,1983
416000.0,3,2.0,2220,1.0,5,7,1976
410000.0,4,1.0,1970,1.5,3,7,1904
800000.0,3,3.5,3830,2.0,3,10,1993
472000.0,6,2.5,4410,1.0,4,9,1965
225000.0,3,1.75,1430,1.0,4,7,1968
210000.0,2,1.0,830,1.0,3,6,1940
455000.0,2,1.0,1430,1.5,2,7,1925
225000.0,3,1.0,1300,1.0,4,6,1954
480000.0,2,1.0,1030,1.0,4,7,1918
363000.0,3,2.5,2740,2.0,3,9,1990
2400000.0,4,2.5,3650,1.0,3,9,2000
181000.0,2,1.5,720,1.0,3,6,1954
250000.0,4,2.0,2010,1.0,4,7,1976
481000.0,3,1.75,1560,1.0,4,6,1918
260000.0,3,2.0,1810,1.0,4,7,1978
455000.0,4,2.5,3360,2.0,3,9,2001
415000.0,3,2.25,1510,2.0,3,8,1991
349500.0,3,1.0,1400,1.0,3,7,1953
245000.0,3,2.5,1730,2.0,3,7,1987
592500.0,2,2.0,1420,1.5,5,7,1928
385000.0,4,1.75,2360,1.0,4,7,1955
315000.0,3,1.75,1580,1.0,4,7,1974
255000.0,3,1.0,1230,1.0,3,7,1979
693000.0,4,2.5,2460,2.0,3,8,2006
780000.0,3,1.0,1660,1.5,3,8,1911
237000.0,3,1.75,1270,1.0,4,7,1960
525000.0,3,2.25,2100,2.0,3,10,1979
425000.0,2,1.0,770,1.0,3,5,1930
369900.0,1,0.75,760,1.0,5,5,1936
290000.0,4,2.5,1700,2.0,4,7,1988
285000.0,3,1.0,1120,1.0,3,7,1954
415000.0,2,1.0,1070,1.0,3,7,1937
272500.0,3,2.5,2070,1.0,3,8,1979
2900000.0,4,3.25,5050,1.5,3,11,1982
1365000.0,4,4.75,5310,2.0,4,11,1989
436000.0,2,1.0,1040,1.0,4,7,1939
210000.0,3,1.0,1700,1.0,4,7,1967
236000.0,3,1.0,1300,1.0,3,7,1961
331000.0,3,1.75,1080,1.0,3,7,1954
365000.0,3,2.5,2653,2.0,3,8,2006
450000.0,3,2.0,2290,1.0,5,8,1960
770000.0,4,2.75,3820,2.0,3,9,2014
455000.0,4,2.5,2210,1.0,3,8,1997
405000.0,3,1.75,2390,1.0,3,6,1908
304900.0,4,1.75,2600,1.0,4,7,1969
170000.0,2,1.0,860,1.0,3,6,1931
2050000.0,5,3.0,3830,2.0,5,9,1905
780000.0,4,2.5,3500,2.0,3,9,2005
330000.0,3,3.0,2420,1.0,4,8,1988
370000.0,4,2.5,2720,2.0,3,9,1992
467000.0,5,2.25,2500,1.0,3,7,1979
405000.0,3,1.75,1670,1.0,3,7,1980
675000.0,5,2.25,2900,1.0,3,8,1985
500000.0,2,1.0,1640,1.0,4,7,1954
389999.0,4,2.5,1890,2.0,4,7,1968
630000.0,4,1.75,2950,1.0,4,8,1975
360000.0,4,2.5,2160,2.0,3,9,1992
580000.0,4,3.0,3280,2.0,3,8,1986
550000.0,3,2.0,1970,2.0,5,8,1929
879000.0,4,2.5,3360,2.0,3,10,1994
265000.0,3,2.0,1320,1.0,3,7,1993
446500.0,3,2.5,2650,2.0,3,8,1990
404000.0,3,1.5,2030,1.0,3,7,1963
267500.0,3,1.75,1590,1.0,3,7,1957
3075000.0,4,5.0,4550,1.0,3,10,2002
335000.0,3,2.5,2440,2.0,3,8,1998
576000.0,3,2.5,1940,1.0,4,7,1948
208633.0,3,2.5,2040,2.0,3,8,2006
315000.0,3,2.25,2200,1.0,4,7,1964
725000.0,3,1.75,1920,1.0,4,8,1913
550000.0,4,2.75,1800,1.0,4,8,1965
610750.0,4,2.25,2180,2.0,3,8,1984
550700.0,2,1.0,1010,1.5,4,6,1908
665000.0,4,2.75,3320,2.0,5,8,1960
834000.0,4,2.5,2370,1.5,5,8,1928
201000.0,5,1.75,1660,1.5,3,6,1915
2384000.0,5,2.5,3650,2.0,5,10,1921
1384000.0,4,3.25,4290,1.0,3,11,1997
1400000.0,4,3.25,4290,1.0,3,11,1997
305000.0,4,2.25,1950,1.0,3,8,1979
487000.0,3,2.0,2590,1.0,5,8,1948
390000.0,3,2.5,1930,1.0,4,8,1988
548000.0,2,1.0,1470,1.0,4,7,1916
268750.0,4,1.0,800,1.0,3,6,1943
819900.0,5,2.75,3150,2.0,3,9,2013
520000.0,3,2.25,2030,2.0,3,8,1984
230000.0,3,2.0,1450,1.0,3,7,2003
240000.0,3,1.75,1510,1.0,3,7,1969
232000.0,2,1.0,1240,1.0,3,6,1922
240500.0,2,1.0,1240,1.0,3,6,1922
274975.0,3,2.5,3030,2.0,3,9,1987
740000.0,4,2.0,2050,1.5,4,9,1922
186375.0,3,1.0,1000,1.0,2,7,1952
790000.0,3,2.25,2370,1.0,4,9,1977
880000.0,4,3.5,2800,2.0,3,9,1951
279000.0,6,1.75,2240,2.0,4,7,1955
295000.0,3,2.0,1810,1.0,3,8,1991
640000.0,2,1.0,1070,1.0,3,7,1924
940000.0,4,2.0,2490,2.0,5,9,1968
260000.0,4,2.5,1960,2.0,3,7,2003
559900.0,3,2.75,2930,1.0,3,9,2004
791500.0,4,2.0,1510,1.5,5,7,1911
265000.0,3,1.75,1420,1.0,3,7,1954
245000.0,3,1.75,1740,1.0,3,7,1954
485000.0,4,1.75,2560,2.0,4,7,1962
684000.0,4,3.5,3040,2.0,3,9,2010
425000.0,3,1.75,2500,1.0,3,8,1957
309600.0,4,1.75,1275,1.0,4,6,1991
552250.0,4,2.5,2580,2.0,3,8,2002
165000.0,4,1.0,1000,1.0,3,6,1943
239900.0,4,1.0,1000,1.0,3,6,1943
320000.0,2,1.0,1070,1.0,4,6,1930
206600.0,3,2.0,1390,1.0,4,7,1987
387000.0,4,1.75,2500,1.0,3,7,1973
299000.0,1,0.75,560,1.0,3,4,1967
855000.0,4,2.75,2270,2.0,3,9,1965
315000.0,3,1.0,1900,1.0,4,7,1954
437500.0,2,1.0,990,1.0,5,7,1907
252000.0,4,1.5,1550,1.0,4,7,1969
375000.0,4,1.75,2200,1.0,5,7,1955
300000.0,4,2.5,1910,2.0,3,7,2005
420000.0,4,1.0,1750,1.5,4,7,1954
900000.0,3,1.0,1330,1.0,3,7,1928
679900.0,3,2.5,2440,2.0,3,9,2000
463000.0,3,2.5,1640,2.0,3,7,1992
380000.0,5,2.5,2760,2.0,4,9,1978
329500.0,4,2.5,1820,2.0,3,7,1994
604950.0,3,2.5,2110,1.0,3,8,2013
795000.0,5,2.5,3040,1.0,4,8,1966
465000.0,3,2.0,1840,2.0,3,7,1994
673000.0,4,2.5,2990,2.0,3,9,2002
810000.0,4,2.5,3520,2.0,3,10,1991
785000.0,4,2.75,2440,1.0,4,8,1989
338000.0,4,3.0,2090,1.0,3,7,1986
280000.0,3,2.25,1430,2.0,3,7,1993
315000.0,4,2.25,2180,1.0,5,7,1954
530000.0,4,2.25,2180,1.0,5,7,1954
380000.0,5,3.0,3450,2.0,3,9,2004
297000.0,3,2.25,1450,2.0,3,7,1994
730000.0,4,2.5,3230,2.0,3,10,2004
450000.0,3,1.75,1640,1.0,3,7,1940
275000.0,3,3.0,1590,1.0,3,7,1997
595000.0,4,2.0,2020,2.0,3,7,1960
435000.0,3,1.5,1300,1.5,3,7,1904
270000.0,2,1.5,1380,1.0,1,6,1954
950000.0,3,3.0,4040,2.0,3,10,1986
389000.0,4,2.25,2130,2.0,3,7,2001
560000.0,4,2.25,2550,1.0,3,8,1968
1350000.0,5,3.5,4800,2.0,3,11,1998
799000.0,4,2.25,2510,2.0,4,8,1969
365500.0,3,2.0,1410,1.0,4,7,1983
252350.0,3,2.0,1650,1.0,3,7,1979
403950.0,4,2.5,2120,2.0,3,8,1993
385000.0,4,1.5,2040,1.0,3,7,1954
345000.0,4,1.0,1550,1.5,3,7,1957
490000.0,3,2.75,1980,2.0,4,9,1979
330000.0,3,2.5,1600,2.0,3,8,2005
927000.0,4,2.75,3300,2.0,3,8,1953
1118000.0,4,2.5,3840,2.0,4,10,1983
330000.0,2,1.0,1220,1.0,5,7,1950
530000.0,5,2.25,2720,1.0,4,7,1958
365000.0,4,2.0,1940,1.0,1,8,1962
378750.0,3,2.5,2160,1.5,3,7,1909
269900.0,4,1.75,1530,1.5,4,7,1968
557000.0,3,3.5,1710,2.0,3,8,2008
360000.0,4,1.75,3730,1.0,4,7,1974
352000.0,2,1.0,940,1.0,4,7,1937
437000.0,3,2.5,1750,2.0,3,8,1994
322500.0,4,2.5,1820,2.0,3,7,1994
650000.0,3,3.25,1510,2.0,3,9,2001
450000.0,3,2.0,1290,3.0,3,8,2001
278500.0,3,2.0,1570,1.0,3,7,1998
364950.0,4,2.5,1930,2.0,3,8,1995
840000.0,4,3.5,2840,1.0,4,10,1986
268000.0,3,2.5,1550,2.0,3,7,1991
517534.0,2,1.0,833,1.0,3,5,2006
632925.0,3,2.5,2990,2.0,4,8,1978
577500.0,3,2.5,2000,2.0,3,9,1995
339000.0,4,1.5,2390,1.5,3,7,1920
570000.0,3,1.75,2910,1.0,4,7,1967
563500.0,4,1.75,2085,1.0,3,7,1964
423000.0,4,2.25,2200,1.0,5,7,1962
355000.0,3,2.25,1860,2.0,3,8,2012
1550000.0,5,4.25,6070,2.0,3,12,1999
482000.0,2,1.0,950,1.0,3,7,1941
625000.0,3,1.75,1600,1.0,5,7,1955
538000.0,3,2.5,2250,2.0,3,8,1988
380000.0,3,2.5,2280,2.0,4,8,1985
375000.0,2,1.0,940,1.0,3,7,1909
245000.0,3,2.5,1530,1.0,5,7,1996
310000.0,5,1.75,2190,1.0,4,7,1947
1300000.0,3,2.0,2350,1.0,4,8,1976
397000.0,4,2.0,1440,1.0,3,7,1971
365000.0,3,2.5,2200,2.0,3,8,2005
328500.0,4,3.0,2290,2.0,3,9,1990
988000.0,4,3.0,4040,2.0,3,11,1987
1000000.0,4,2.5,2610,1.5,5,8,1922
237000.0,3,2.5,1490,2.0,3,7,2005
525000.0,4,2.5,2450,2.0,3,8,2003
749000.0,4,2.5,1710,1.0,3,9,1976
722500.0,5,2.5,4870,2.0,3,10,1983
843000.0,3,2.5,3130,2.0,3,10,1991
438000.0,2,2.0,1270,3.0,3,8,2000
578000.0,3,1.75,2120,1.0,3,8,1977
227950.0,3,1.5,1670,1.0,5,7,1954
196000.0,3,2.25,2070,2.0,3,7,1974
641000.0,2,1.0,1420,1.0,3,8,1953
350000.0,3,1.5,1250,1.0,4,6,1980
205000.0,3,1.0,940,1.0,4,7,1960
400000.0,3,1.75,1920,1.0,3,7,1968
1030000.0,3,2.5,3545,1.0,3,10,2005
505000.0,3,2.0,1260,1.0,3,7,1972
475000.0,5,2.5,2340,1.0,3,7,1975
520000.0,3,2.25,2590,1.0,5,8,1977
1450000.0,3,4.5,3970,2.0,3,10,1977
333500.0,3,1.75,1220,1.0,3,7,1965
232000.0,3,1.0,1400,1.0,4,6,1976
691100.0,3,2.75,2360,1.0,4,8,1983
811000.0,3,1.75,1870,1.0,4,8,1960
551000.0,3,2.5,2830,2.0,3,9,2001
496500.0,3,2.5,2260,2.0,3,8,1994
705000.0,3,3.0,1970,2.0,4,9,1980
578000.0,4,2.5,3140,1.0,5,9,1966
255000.0,3,1.75,1240,1.0,5,7,1986
1050000.0,4,3.5,3450,2.0,3,10,2007
348000.0,3,2.25,2570,2.0,4,8,1989
230000.0,3,2.0,1510,2.0,3,7,1985
359500.0,4,2.25,2390,2.0,3,9,1988
330000.0,3,1.0,980,1.0,3,6,1953
80000.0,1,0.75,430,1.0,2,4,1912
465000.0,3,1.75,1480,1.0,3,7,1954
325000.0,4,2.5,1850,2.0,3,8,1997
340500.0,3,2.0,2270,1.0,4,7,1947
342500.0,3,2.5,1810,2.0,3,8,1993
290900.0,2,2.0,1610,2.0,3,6,1930
868700.0,3,4.25,3840,2.0,3,10,2000
1199000.0,4,2.75,4110,2.0,3,9,1928
1150000.0,4,3.25,4190,2.0,3,11,2000
859900.0,4,2.75,3390,2.0,3,9,2011
520000.0,4,2.25,1890,2.0,3,7,2003
460000.0,3,2.5,1610,2.0,3,9,2005
438924.0,3,1.5,1050,1.0,3,7,1949
315000.0,2,1.0,630,1.0,3,5,1918
590000.0,4,2.75,2910,1.0,3,8,1975
378500.0,4,1.75,1700,1.0,3,7,1955
328500.0,3,2.5,1950,2.0,4,9,1990
849950.0,3,3.0,2990,2.0,4,8,1973
525000.0,3,1.5,1350,1.0,3,7,1950
1385000.0,4,3.25,4860,2.5,3,9,1993
295000.0,4,2.5,2160,1.0,4,8,1978
1067000.0,6,3.5,4860,2.0,3,11,1998
207950.0,2,2.0,890,1.0,3,6,1917
699900.0,4,2.75,2810,2.0,3,9,2002
1280000.0,5,2.5,3400,2.0,4,8,1977
452000.0,4,1.5,1580,1.0,4,7,1963
370000.0,3,2.0,1680,1.0,4,7,1987
232000.0,3,1.75,1300,1.0,5,7,1968
669950.0,5,2.5,2820,2.0,4,7,1960
397500.0,3,2.0,1510,1.0,3,7,1972
490000.0,2,2.5,1230,2.0,3,8,2004
725000.0,4,2.0,2110,2.0,3,9,1925
299000.0,3,2.75,3080,1.0,4,7,1958
625000.0,2,1.5,1490,1.5,4,7,1900
437500.0,3,2.5,2120,2.0,3,7,2000
650000.0,4,2.5,3180,2.0,3,9,2003
475000.0,2,1.0,1490,1.0,3,7,1929
342000.0,3,2.0,1930,1.0,4,8,1966
1197350.0,4,2.5,2770,2.0,3,10,1999
280000.0,3,1.5,1670,1.0,4,7,1963
240000.0,2,1.75,1330,1.0,3,7,1993
529000.0,3,1.0,1210,1.5,4,7,1924
442000.0,3,1.0,1190,1.0,4,7,1941
615000.0,2,1.0,1540,1.0,4,7,1946
1485000.0,4,3.75,4030,2.0,3,10,2006
585000.0,4,1.75,2430,1.0,4,8,1981
480000.0,4,2.5,2600,2.0,3,8,2005
1095000.0,5,3.5,4410,2.0,4,9,1990
290000.0,4,1.0,1330,1.5,3,7,1949
615000.0,3,1.75,1900,1.0,5,7,1951
300000.0,2,1.0,1100,1.0,4,7,1950
308000.0,3,1.0,1980,1.5,3,6,1932
750000.0,3,2.5,2400,2.0,3,9,2001
2250000.0,4,2.25,4760,2.5,5,9,1916
890000.0,4,3.25,3180,2.0,3,10,2005
288000.0,3,1.0,1190,1.0,5,6,1958
190000.0,2,1.0,630,1.0,3,6,1943
515000.0,5,3.0,2530,1.0,3,8,2005
235000.0,4,1.5,1690,1.0,4,5,1930
275000.0,2,1.0,940,1.0,3,6,1951
727500.0,2,2.0,1240,1.0,4,7,1952
650000.0,4,2.5,3040,2.0,3,7,2003
1600000.0,6,5.0,6050,2.0,3,11,2001
365000.0,4,1.0,1590,1.5,3,6,1944
662000.0,3,1.75,2500,1.0,3,9,1984
270500.0,3,2.5,1780,1.0,3,7,1978
200000.0,2,1.5,1360,2.0,3,7,1978
970000.0,4,3.25,4740,2.0,3,10,1987
160000.0,3,1.5,1010,1.0,4,7,1962
204000.0,3,1.0,1040,1.0,4,6,1971
358000.0,3,2.25,1610,2.0,4,7,1985
452000.0,4,1.75,1570,1.0,3,7,1979
595000.0,2,2.0,1510,1.0,4,7,1900
249000.0,3,2.0,1360,1.0,3,7,1994
346900.0,4,2.5,1970,2.0,3,8,1999
2125000.0,3,2.5,5403,2.0,4,12,1976
280000.0,4,2.5,1560,2.0,3,7,2003
318888.0,4,1.75,2320,1.0,4,8,1973
530000.0,3,2.25,2120,1.0,3,8,1967
375000.0,3,2.25,2120,2.0,4,8,1983
910000.0,4,2.5,3350,2.0,3,11,1988
782000.0,4,2.5,2380,2.0,4,10,1991
259950.0,2,2.0,1070,2.0,3,9,2008
315000.0,4,2.75,2300,1.0,4,7,1979
215000.0,2,1.0,1320,1.0,4,6,1943
705000.0,3,1.75,2180,1.0,4,7,1946
1450000.0,3,3.0,4380,2.0,5,10,1952
451000.0,3,1.75,1790,2.0,3,7,1949
261000.0,2,1.0,750,1.0,4,6,1943
396000.0,3,1.5,1300,1.0,5,7,1956
725000.0,4,2.5,2990,2.0,3,9,1999
